,year,neighborhood,sale_price_sqr_foot
239,2014,Outer Parkside,650.963515967709
240,2014,Outer Richmond ,401.9350222176535
241,2014,North Waterfront,379.92536172660726
242,2014,Noe Valley,654.801499892284
243,2014,Nob Hill,478.44335175268515
244,2014,Outer Sunset,490.36358286726374
245,2014,Presidio Heights,603.4509968798565
246,2014,Yerba Buena,479.9237488133093
247,2014,Silver Terrace,170.2925485152069
248,2014,South Beach,524.6293121403909
249,2014,South of Market,1119.8388773148026
250,2014,Sunnyside,493.45560489574007
251,2014,Telegraph Hill,708.1930316849231
252,2014,Twin Peaks,562.9112337982453
253,2014,Union Square District,558.2711194060469
254,2014,Van Ness/ Civic Center,475.39318681250677
255,2014,Visitacion Valley,282.02546830016496
256,2014,West Portal,687.7829633004552
257,2014,Western Addition,429.4883174233179
258,2014,Westwood Park,742.9797231632554
259,2014,Mission Terrace,300.1873092016618
260,2014,Russian Hill,714.2220737504065
261,2014,Mission Dolores,642.2195925518147
262,2014,Mission Bay,220.11108719171108
263,2014,Alamo Square,484.44355217067766
264,2014,Miraloma Park,1267.7662026328826
265,2014,Anza Vista,620.4414065565543
266,2014,Bayview,254.95866163273848
267,2014,Bernal Heights ,544.5469286452765
268,2014,Central Richmond,423.95272693478194
269,2014,Central Sunset,456.2419957897522
270,2014,Corona Heights,888.1821435177138
271,2014,Cow Hollow,691.8654114838455
272,2014,Duboce Triangle,630.3115352378672
273,2014,Eureka Valley/Dolores Heights,728.9797158498743
274,2014,Excelsior,358.30523872237734
275,2014,Financial District North,409.9438351783924
276,2014,Financial District South,694.4181461347432
277,2014,Glen Park,553.5627522522698
278,2014,Downtown ,428.7265326799175
279,2014,Haight Ashbury,496.55100121228986
280,2014,Golden Gate Heights,567.3400104586143
281,2014,Marina,642.838478220973
282,2014,Lower Pacific Heights,716.3765095625198
283,2014,Lone Mountain,317.2219194303952
284,2014,Lake --The Presidio,432.9627229749631
285,2014,Jordan Park/Laurel Heights,426.7863811847511
286,2014,Merced Heights,528.7265413888829
287,2014,Inner Richmond,430.9396363161629
288,2014,Inner Parkside,597.200528047448
289,2014,Inner Mission,464.1758436880091
290,2014,Ingleside ,647.6496334575522
291,2014,Hayes Valley,428.9237926791115
292,2014,Inner Sunset,470.85352986706454
293,2015,Outer Sunset,357.8946922463997
294,2015,Outer Richmond ,438.4677874196749
295,2015,Outer Parkside,652.2879690318528
296,2015,Outer Mission,564.6874764662283
297,2015,Oceanview,265.92982650327014
298,2015,Noe Valley,544.6002639104154
299,2015,North Beach,448.86919667679206
300,2015,Nob Hill,529.847319131393
301,2015,Mission Terrace,583.8486362312665
302,2015,Mission Dolores,571.7557085689908
303,2015,Pacific Heights,910.1876901656897
304,2015,North Waterfront,890.9095931764135
305,2015,Park North,616.5723883169862
306,2015,Marina,1132.8373605554546
307,2015,Parnassus/Ashbury Heights,605.3433249358948
308,2015,Potrero Hill,821.3009904764873
309,2015,Presidio Heights,
310,2015,Russian Hill,793.2619915605263
311,2015,South of Market,717.0825412171872
312,2015,Yerba Buena,963.5226061641273
313,2015,Sunnyside,439.7498835483721
314,2015,Telegraph Hill,996.9902204858653
